Period,Value
Jan-2009,310188
Feb-2009,299412
Mar-2009,328526
Apr-2009,329854
May-2009,347728
Jun-2009,344405
Jul-2009,348071
Aug-2009,353392
Sep-2009,324646
Oct-2009,338610
Nov-2009,339363
Dec-2009,400281
Jan-2010,314557
Feb-2010,310925
Mar-2010,360679
Apr-2010,356333
May-2010,365605
Jun-2010,358604
Jul-2010,361939
Aug-2010,362627
Sep-2010,345999
Oct-2010,355209
Nov-2010,365828
Dec-2010,426663
Jan-2011,335587
Feb-2011,337314
Mar-2011,387088
Apr-2011,380775
May-2011,391999
Jun-2011,388700
Jul-2011,384682
Aug-2011,394609
Sep-2011,375025
Oct-2011,379482
Nov-2011,391220
Dec-2011,451821
Jan-2012,355184
Feb-2012,372401
Mar-2012,414149
Apr-2012,392949
May-2012,418608
Jun-2012,400975
Jul-2012,396026
Aug-2012,417922
Sep-2012,385609
Oct-2012,399400
Nov-2012,411065
Dec-2012,462102
Jan-2013,375587
Feb-2013,373987
Mar-2013,421719
Apr-2013,408544
May-2013,437188
Jun-2013,414714
Jul-2013,422410
Aug-2013,435005
Sep-2013,396213
Oct-2013,415700
Nov-2013,423786
Dec-2013,476910
Jan-2014,383054
Feb-2014,380019
Mar-2014,432651
Apr-2014,431396
May-2014,459231
Jun-2014,433282
Jul-2014,443281
Aug-2014,451366
Sep-2014,421424
Oct-2014,438457
Nov-2014,439165
Dec-2014,502330
Jan-2015,398027
Feb-2015,388063
Mar-2015,445970
Apr-2015,439637
May-2015,464785
Jun-2015,449794
Jul-2015,459533
Aug-2015,457905
Sep-2015,432782
Oct-2015,446593
Nov-2015,446773
Dec-2015,519625
Jan-2016,401982
Feb-2016,415189
Mar-2016,461198
Apr-2016,451468
May-2016,470430
Jun-2016,465023
Jul-2016,462162
Aug-2016,471996
Sep-2016,448749
Oct-2016,453088
Nov-2016,467765
Dec-2016,540273
Jan-2017,421560
Feb-2017,417983
Mar-2017,483059
Apr-2017,466058
May-2017,495264
Jun-2017,482456
Jul-2017,475984
Aug-2017,491090
Sep-2017,470406
Oct-2017,476925
Nov-2017,499446
Dec-2017,560379
Jan-2018,445484
Feb-2018,437005
Mar-2018,510380
Apr-2018,482412
May-2018,530082
Jun-2018,510029
Jul-2018,508010
Aug-2018,523933
Sep-2018,481094
Oct-2018,506360
Nov-2018,522804
Dec-2018,563497
Jan-2019,459143
Feb-2019,444794
Mar-2019,518304
Apr-2019,510176
May-2019,547036
Jun-2019,517984
Jul-2019,533058
Aug-2019,NA
Sep-2019,NA
Oct-2019,NA
Nov-2019,NA
Dec-2019,NA
